carat	cut	color	clarity	depth	table	price	x	y	z
0.58	Ideal	H	SI1	60.2	57	1421	5.47	5.43	3.28
1.51	Ideal	I	SI2	62.8	54	7693	7.28	7.34	4.59
2.02	Ideal	I	VS2	61.5	58	16018	8.19	8.11	5.01
1.25	Ideal	J	VS2	62.6	54	5067	6.94	6.9	4.33
1.08	Ideal	H	VVS1	62.5	54	6961	6.56	6.58	4.1
0.71	Ideal	H	SI2	62.6	56	1800	5.75	5.69	3.58
0.4	Ideal	I	VVS2	61.8	56	970	4.76	4.79	2.95
1.4	Premium	G	SI2	62	60	7357	7.16	7.1	4.42
0.32	Ideal	E	VVS1	60.5	57	917	4.44	4.48	2.7
1	Premium	G	SI1	59.6	60	5088	6.49	6.43	3.85
0.31	Premium	E	VS2	61.8	59	872	4.37	4.3	2.68
0.39	Very Good	I	VS2	60.1	57	679	4.74	4.77	2.86
1.14	Fair	J	SI2	64.4	55	3403	6.56	6.54	4.22
0.34	Very Good	F	VVS2	61	56	825	4.51	4.53	2.76
0.71	Very Good	H	IF	60.2	61	3444	5.76	5.8	3.48
0.26	Very Good	F	VS2	62.5	55	381	4.05	4.08	2.54
0.53	Very Good	G	SI2	60.9	55	1092	5.26	5.29	3.21
0.32	Ideal	H	VVS1	61.6	55	936	4.43	4.4	2.72
0.96	Ideal	F	I1	60.7	55	2801	6.37	6.41	3.88
0.7	Premium	J	SI1	61.6	58	1666	5.66	5.73	3.51
1.82	Very Good	G	SI2	61.3	58	11971	7.83	7.94	4.83
0.38	Premium	H	VVS1	59.1	58	1033	4.76	4.71	2.8
1.11	Good	I	VVS2	60.1	64	5221	6.73	6.62	4.02
0.34	Ideal	H	SI1	61.3	57	526	4.54	4.55	2.78
0.53	Ideal	D	SI1	61.6	56	1621	5.2	5.23	3.21
1.06	Premium	H	SI1	61.6	59	4785	6.54	6.55	4.03
0.57	Good	H	SI1	63.1	54	1218	5.28	5.3	3.34
0.45	Very Good	G	VVS2	61.4	61	1105	4.89	4.95	3.02
0.4	Very Good	F	VS1	60.9	61	851	4.75	4.78	2.9
0.56	Ideal	E	VS2	61.9	55	1915	5.34	5.29	3.29
0.5	Very Good	H	VS2	63	55	1209	5.05	5.08	3.19
0.71	Very Good	G	SI1	62.7	59	2201	5.65	5.67	3.55
1.5	Good	G	VS2	58.8	64	11508	7.43	7.4	4.36
0.3	Ideal	D	SI1	62.2	56	552	4.25	4.3	2.66
1.2	Very Good	E	VS2	60.7	59	8769	6.79	6.86	4.14
0.9	Very Good	E	VS2	61.1	63	4134	6.17	6.2	3.78
0.51	Premium	H	SI1	60.4	58	1195	5.21	5.19	3.14
0.31	Ideal	G	IF	61.8	55	891	4.35	4.39	2.7
0.72	Ideal	F	SI2	61.7	55	2340	5.77	5.81	3.57
1.21	Very Good	I	SI1	62.9	56	5245	6.73	6.79	4.25
0.91	Premium	G	SI1	62.2	59	3975	6.19	6.15	3.84
1.06	Premium	I	SI2	61.5	58	3847	6.59	6.55	4.04
0.27	Very Good	E	VS2	63.1	57	470	4.07	4.11	2.58
0.38	Ideal	F	VVS1	61.9	54	1200	4.67	4.7	2.9
0.3	Ideal	D	SI1	61	56	552	4.35	4.37	2.66
1	Very Good	G	VS2	60.8	55	6296	6.46	6.49	3.94
0.32	Ideal	F	VVS1	61.7	56	926	4.4	4.42	2.72
0.32	Good	F	SI2	63.1	56	421	4.34	4.38	2.75
1.54	Premium	G	SI2	62.4	57	8969	7.39	7.36	4.6
2.08	Premium	G	SI2	62.2	60	12883	8.16	8.09	5.06
0.3	Ideal	F	VS2	60.4	56	605	4.34	4.37	2.63
1.39	Ideal	J	VS2	60.3	57	6366	7.26	7.24	4.37
1.01	Ideal	J	VS1	61.2	57	4693	6.45	6.49	3.96
0.42	Ideal	G	VVS2	62.7	56	1031	4.74	4.77	2.98
1.13	Ideal	H	SI2	62	57	4556	6.74	6.64	4.15
0.42	Ideal	G	IF	61.9	53	1289	4.83	4.87	3
1.62	Premium	F	SI1	62.6	58	13177	7.48	7.53	4.7
0.54	Ideal	G	VS1	60.7	57	2274	5.29	5.26	3.2
0.43	Ideal	F	VS2	61.1	57	1066	4.88	4.91	2.99
1.49	Ideal	H	SI1	62.4	56	9132	7.28	7.24	4.53
0.32	Premium	G	VS2	60.8	59	720	4.44	4.41	2.69
0.49	Premium	G	SI1	62.4	58	1072	5.05	4.99	3.13
2.01	Premium	I	SI2	59.2	60	13574	8.31	8.27	4.91
0.32	Premium	H	VVS1	61.4	58	730	4.37	4.42	2.7
1.1	Ideal	H	SI1	62	57	5370	6.66	6.7	4.14
0.71	Ideal	F	VS1	61.5	57	3404	5.7	5.74	3.52
0.34	Ideal	H	SI1	60.7	56	628	4.58	4.52	2.76
1.02	Very Good	E	SI1	58.9	58	5232	6.51	6.54	3.84
0.7	Premium	E	SI1	60.5	58	2777	5.77	5.74	3.48
1.47	Premium	I	SI2	61.6	59	6403	7.29	7.32	4.5
1.32	Ideal	E	VS2	62	56	10919	7.02	7.07	4.37
0.5	Premium	D	VS2	62.1	58	1752	5.03	5.08	3.14
0.54	Ideal	E	VS2	61.1	57	1825	5.24	5.26	3.21
0.32	Ideal	H	VVS1	61.3	57	821	4.41	4.43	2.71
1.06	Ideal	G	SI1	60.5	57	5393	6.64	6.59	4
1.17	Ideal	G	VS1	61.7	57	9326	6.71	6.75	4.15
0.31	Ideal	H	VVS1	61.5	54	707	4.36	4.39	2.69
0.33	Premium	I	VS2	60.6	58	463	4.44	4.47	2.7
0.31	Ideal	G	VVS1	60.8	56	772	4.41	4.43	2.69
0.7	Very Good	E	VVS2	59.2	61	3154	5.79	5.84	3.44
0.72	Very Good	G	SI2	60.6	61	2114	5.73	5.79	3.49
